Quarter,Total final consumption
01/01/1998,48479
01/04/1998,38544
01/07/1998,34412
01/10/1998,47223
01/01/1999,50346
01/04/1999,38406
01/07/1999,34470
01/10/1999,46275
01/01/2000,50006
01/04/2000,39099
01/07/2000,34757
01/10/2000,47631
01/01/2001,51971
01/04/2001,39892
01/07/2001,34113
01/10/2001,45682
01/01/2002,49921
01/04/2002,37084
01/07/2002,34143
01/10/2002,46872
01/01/2003,50886
01/04/2003,37480
01/07/2003,34427
01/10/2003,47638
01/01/2004,51684
01/04/2004,38598
01/07/2004,34865
01/10/2004,47218
01/01/2005,50937
01/04/2005,39103
01/07/2005,34814
01/10/2005,46968
01/01/2006,52534
01/04/2006,38351
01/07/2006,33593
01/10/2006,43978
01/01/2007,47853
01/04/2007,36313
01/07/2007,34332
01/10/2007,45490
01/01/2008,49294
01/04/2008,37276
01/07/2008,32590
01/10/2008,44242
01/01/2009,46512
01/04/2009,33693
01/07/2009,31061
01/10/2009,41981
01/01/2010,47676
01/04/2010,34252
01/07/2010,31105
01/10/2010,45982
01/01/2011,44502
01/04/2011,32457
01/07/2011,30376
01/10/2011,39656
01/01/2012,43033
01/04/2012,34204
01/07/2012,30128
01/10/2012,42085
01/01/2013,45346
01/04/2013,34578
01/07/2013,29724
01/10/2013,40070
01/01/2014,41348
01/04/2014,31932
01/07/2014,29655
01/10/2014,39373
01/01/2015,43948
01/04/2015,32761
01/07/2015,30367
01/10/2015,38704
01/01/2016,43303
01/04/2016,33713
01/07/2016,29925
01/10/2016,41025
01/01/2017,42721
01/04/2017,33196
01/07/2017,30890
01/10/2017,41397
01/01/2018,45304
01/04/2018,33157
01/07/2018,31061
01/10/2018,40225
01/01/2019,42502
01/04/2019,34008
01/07/2019,29680
01/10/2019,41344
01/01/2020,42068
01/04/2020,23805
01/07/2020,25839
01/10/2020,37474
01/01/2021,38798
01/04/2021,30562
01/07/2021,26669
01/10/2021,37960
01/01/2022,39337
01/04/2022,30357
01/07/2022,27321
01/10/2022,36219
01/01/2023,38530